iter	Logloss
0	0.6926079389
1	0.691685207
2	0.6912373198
3	0.6903290558
4	0.6899125775
5	0.6894278815
6	0.6887987536
7	0.6883768756
8	0.6877991892
9	0.6867573752
10	0.6860413161
11	0.6852058039
12	0.684438056
13	0.6839348526
14	0.682907218
15	0.6823056245
16	0.68122931
17	0.6808548753
18	0.6804018356
19	0.6800224545
20	0.6795101829
21	0.6784867939
22	0.6778403539
23	0.6771773439
24	0.6765040291
25	0.6760352437
26	0.6753562818
27	0.6749354755
28	0.6744642582
29	0.6741914287
30	0.6730013906
31	0.6723796821
32	0.6721354587
33	0.6718695951
34	0.6713026669
35	0.6711229514
36	0.6704335199
37	0.6699805215
38	0.6695176304
39	0.6690339649
40	0.6683764782
41	0.6679894304
42	0.6673788099
43	0.6666043433
44	0.6658456224
45	0.664422861
46	0.6640217987
47	0.6634214005
48	0.6628616445
49	0.6625536962
50	0.6618033428
51	0.6611377772
52	0.6604635967
53	0.6598005455
54	0.6595399168
55	0.6591176266
56	0.658756382
57	0.6583455095
58	0.6571837477
59	0.6568303759
60	0.6561656347
61	0.6557330397
62	0.6547914295
63	0.6540318842
64	0.6535606256
65	0.6525846386
66	0.6520047264
67	0.6515929883
68	0.6512035497
69	0.6508480758
70	0.6504200561
71	0.6499192434
72	0.6495231274
73	0.6493066444
74	0.6489041806
75	0.6487734335
76	0.6487045563
77	0.6485541064
78	0.6484907526
79	0.6480353634
80	0.6474376857
81	0.6469782571
82	0.6466545219
83	0.645820947
84	0.6450891422
85	0.644801144
86	0.6445227498
87	0.6441047052
88	0.643649316
89	0.6428848657
90	0.6425689621
91	0.6418734302
92	0.6413413322
93	0.64055755
94	0.6400600349
95	0.6396809011
96	0.6388663283
97	0.6382964323
98	0.6377816051
99	0.6375699036
100	0.637533878
101	0.6367396262
102	0.6358158226
103	0.6355341309
104	0.6352672782
105	0.6348366617
106	0.6343177126
107	0.6336858642
108	0.6331930069
109	0.6327822168
110	0.6325416618
111	0.6320629014
112	0.6315396655
113	0.6313141555
114	0.6307734427
115	0.6301344635
116	0.6294839428
117	0.6286812823
118	0.6280892517
119	0.6271900559
120	0.626859231
121	0.6268591486
122	0.6266399863
123	0.6261264782
124	0.6252954589
125	0.6248094439
126	0.6245069365
127	0.6240942916
128	0.6237184554
129	0.6235792171
130	0.6227754025
131	0.6226613078
132	0.6224379001
133	0.6216765411
134	0.6214516494
135	0.6210000524
136	0.6205980833
137	0.6201714239
138	0.6191280435
139	0.618970339
140	0.6184952471
141	0.6181043659
142	0.6177239544
143	0.6175590365
144	0.616935061
145	0.6166103778
146	0.6162650438
147	0.616091305
148	0.6158009161
149	0.6156315879
150	0.6147454173
151	0.6139573484
152	0.6131712992
153	0.6131184563
154	0.6128783135
155	0.6124319101
156	0.6118111497
157	0.611391209
158	0.6106330239
159	0.610100761
160	0.6098986635
161	0.6096076563
162	0.6092903513
163	0.6089303845
164	0.6082755771
165	0.607729547
166	0.607511374
167	0.6068700453
168	0.6063256639
169	0.6053953477
170	0.6050467574
171	0.6045832068
172	0.6036913893
173	0.6032369893
174	0.6025663538
175	0.6021602627
176	0.6017023179
177	0.6007872528
178	0.5999768843
179	0.5992375776
180	0.5988979318
181	0.5985175203
182	0.597818155
183	0.5971857708
184	0.5961894215
185	0.5956179592
186	0.595095053
187	0.59437751
188	0.5939325905
189	0.5930542929
190	0.5927483231
191	0.5921913287
192	0.591730004
193	0.5912080459
194	0.5906234759
195	0.5900601338
196	0.5893693833
197	0.5886141248
198	0.5879755989
199	0.5873543027
200	0.5868144967
201	0.5859373119
202	0.5851979228
203	0.5846009046
204	0.5839337315
205	0.5833233583
206	0.5826720133
207	0.5820897103
208	0.581659671
209	0.5810960815
210	0.5805990198
211	0.5800604916
212	0.5793164447
213	0.5789123321
214	0.5781540647
215	0.5777392351
216	0.5768888841
217	0.5763039843
218	0.5756213127
219	0.5750794046
220	0.5742945507
221	0.5735733393
222	0.5731266885
223	0.5725321023
224	0.5719344246
225	0.5716310929
226	0.5711524149
227	0.5708324306
228	0.5700366537
229	0.5692312727
230	0.5686985152
231	0.5679089212
232	0.567239481
233	0.5664098631
234	0.5660453622
235	0.5653491707
236	0.5649239952
237	0.564081146
238	0.5633386654
239	0.5627849274
240	0.5619948387
241	0.5614435738
242	0.5606629655
243	0.5598861906
244	0.5592710772
245	0.5584558449
246	0.5578835582
247	0.5571566997
248	0.5567504438
249	0.5562706941
250	0.555767367
251	0.5551820139
252	0.5548152871
253	0.5543329818
254	0.5535273947
255	0.5530213472
256	0.5525945642
257	0.5521005114
258	0.5512782718
259	0.550594611
260	0.5501169222
261	0.5498197734
262	0.5490774989
263	0.5486114752
264	0.5481359711
265	0.5476603021
266	0.5472989338
267	0.546862052
268	0.5464099604
269	0.5456779083
270	0.5448874486
271	0.5445597152
272	0.5438409356
273	0.5431242995
274	0.5425005713
275	0.5418836443
276	0.5412011376
277	0.5404776178
278	0.5400077195
279	0.5393551792
280	0.538888702
281	0.5383390859
282	0.5375685763
283	0.5368403576
284	0.5364061138
285	0.5358352698
286	0.5353258011
287	0.5349331063
288	0.5343243819
289	0.5340050983
290	0.5335105509
291	0.5331513261
292	0.5327346829
293	0.5319904299
294	0.5314114245
295	0.530850638
296	0.5302849051
297	0.5297772913
298	0.5291614772
299	0.5287487086
300	0.5284261688
301	0.5281699917
302	0.5276625016
303	0.52708667
304	0.5265522225
305	0.5259138203
306	0.5253994053
307	0.524881734
308	0.5244674403
309	0.5238558718
310	0.5233565842
311	0.5229884148
312	0.5224028555
313	0.5219031146
314	0.5213299623
315	0.5209364843
316	0.5204328687
317	0.5199155271
318	0.5195725014
319	0.5188279598
320	0.518389182
321	0.5179196959
322	0.5173305918
323	0.5166983312
324	0.5160468213
325	0.5154974525
326	0.5150905783
327	0.5145803676
328	0.5141018133
329	0.5136077605
330	0.5130182443
331	0.512667222
332	0.5119588297
333	0.511346107
334	0.5108764972
335	0.5102186396
336	0.5096679517
337	0.5092620255
338	0.5087370172
339	0.508345188
340	0.5076481309
341	0.5074034953
342	0.5070228776
343	0.5065550815
344	0.5060715396
345	0.5054278202
346	0.5048361193
347	0.5043580183
348	0.5037277775
349	0.5032324882
350	0.5026461458
351	0.5018879195
352	0.5013084195
353	0.5007373282
354	0.5003449219
355	0.4998283635
356	0.4993658846
357	0.4990278876
358	0.4985565466
359	0.4979838889
360	0.497671118
361	0.4972989091
362	0.4967746839
363	0.4964216419
364	0.4959620072
365	0.4955971765
366	0.4951283498
367	0.4946589874
368	0.4942387994
369	0.4936502723
370	0.4929565128
371	0.4923782081
372	0.4919305682
373	0.4916219604
374	0.4912408893
375	0.4909325289
376	0.4902203856
377	0.4897242307
378	0.489288874
379	0.488745111
380	0.4883282617
381	0.4879181312
382	0.4873422584
383	0.4868397146
384	0.4863943004
385	0.4859732056
386	0.4855038019
387	0.4849957346
388	0.4844940151
389	0.4839490155
390	0.4834895869
391	0.4828796671
392	0.482466239
393	0.4817109806
394	0.4812339101
395	0.4808963253
396	0.4804625761
397	0.4800425942
398	0.4795125984
399	0.4790262124
400	0.4784518648
401	0.4778671711
402	0.4772609611
403	0.4768641031
404	0.4763577671
405	0.4759536545
406	0.4755006148
407	0.4751157928
408	0.4746521186
409	0.4742239341
410	0.4737664015
411	0.4734042501
412	0.4729846391
413	0.4726489503
414	0.4719682161
415	0.4714694231
416	0.4708988677
417	0.4704905508
418	0.470089406
419	0.4696875193
420	0.4693091275
421	0.4689506857
422	0.4685446771
423	0.468176755
424	0.4678214871
425	0.4671460289
426	0.4666458345
427	0.4660753202
428	0.4656313488
429	0.4649350337
430	0.4643719801
431	0.4639413636
432	0.4634315652
433	0.4629040013
434	0.4625326579
435	0.4621552554
436	0.4617852723
437	0.461407169
438	0.4609268011
439	0.4606144423
440	0.4601183286
441	0.4598665621
442	0.459230633
443	0.4587544694
444	0.4584614425
445	0.4578969874
446	0.4571939536
447	0.4567459426
448	0.4563461993
449	0.455868964
450	0.4554541345
451	0.4549298269
452	0.4545201497
453	0.4542139327
454	0.4539681429
455	0.4535472953
456	0.4531003149
457	0.4524934453
458	0.4520409415
459	0.4517282118
460	0.4513898438
461	0.4509257162
462	0.4504413911
463	0.4500978708
464	0.4496139991
465	0.4491502425
466	0.4487636893
467	0.4482751187
468	0.4477812308
469	0.4473626504
470	0.4470502917
471	0.446560773
472	0.4460662257
473	0.4456846188
474	0.44529551
475	0.4449526079
476	0.4442983363
477	0.4440497848
478	0.4437746882
479	0.4431671179
480	0.4426809793
481	0.4418427466
482	0.4414362434
483	0.4410108617
484	0.4406852717
485	0.4403705635
486	0.4400551133
487	0.4395947366
488	0.4391991564
489	0.4386115774
490	0.4380983578
491	0.4374499393
492	0.4369575354
493	0.4365377183
494	0.436263611
495	0.4359236354
496	0.4354171757
497	0.4350361047
498	0.4344913936
499	0.4339928068
